commune_name_ascii,daira_name_ascii,wilaya_name_ascii
بربوش,Djendel,Aïn Defla
جندل,Djendel,Aïn Defla
بن علال,Miliana,Aïn Defla
وادي الشرفاء,Djendel,Aïn Defla
بومدفع,Boumedfaa,Aïn Defla
عين الاشياخ,Ain Lechiakh,Aïn Defla
عين السلطان,Ain Lechiakh,Aïn Defla
واد الجمعة,Ain Lechiakh,Aïn Defla
الماين,Rouina,Aïn Defla
الروينة,Rouina,Aïn Defla
زدين,Rouina,Aïn Defla
بئر ولد خليفة,Bordj El Emir Khaled,Aïn Defla
برج الأمير خالد,Bordj El Emir Khaled,Aïn Defla
طارق بن زياد,Bordj El Emir Khaled,Aïn Defla
بطحية,Bathia,Aïn Defla
بلعاص,Bathia,Aïn Defla
الحسانية,Bathia,Aïn Defla
عين الدفلى,Ain Defla,Aïn Defla
مليانة,Miliana,Aïn Defla
المخاطرية,El Amra,Aïn Defla
تيوت,Ain Sefra,Naâma
مغرار,Moghrar,Naâma
عسلة,Asla,Naâma
القصدير,Mekmen Ben Amar,Naâma
مكمن بن عمار,Mekmen Ben Amar,Naâma
عين الصفراء,Ain Sefra,Naâma
المشرية,Mecheria,Naâma
البيوض,Mecheria,Naâma
عين بن خليل,Mecheria,Naâma
النعامة,Naama,Naâma
جنين بورزق,Moghrar,Naâma
سفيسيفة,Sfissifa,Naâma
سيدي بومدين,Ain Larbaa,Aïn Témouchent
تامزورة,Ain Larbaa,Aïn Témouchent
شعبة اللحم,El Maleh,Aïn Témouchent
المالح,El Maleh,Aïn Témouchent
أولاد الكيحل,El Maleh,Aïn Témouchent
شنتوف,Hammam Bou Hadjar,Aïn Témouchent
تارقة,El Maleh,Aïn Témouchent
وادي الصباح,Ain Larbaa,Aïn Témouchent
العامرية,El Amria,Aïn Témouchent
حاسي الغلة,El Amria,Aïn Témouchent
أولاد بوجمعة,El Amria,Aïn Témouchent
أغلال,Ain Kihel,Aïn Témouchent
عين الكيحل,Ain Kihel,Aïn Témouchent
عين الطلبة,Ain Kihel,Aïn Témouchent
عقب الليل,Ain Kihel,Aïn Témouchent
بني صاف,Beni Saf,Aïn Témouchent
الحساسنة,Hammam Bou Hadjar,Aïn Témouchent
الأمير عبد القادر,Beni Saf,Aïn Témouchent
سيدي صافي,Beni Saf,Aïn Témouchent
ولهاصة الغرابة,Oulhassa Gheraba,Aïn Témouchent
سيدي ورياش,Oulhassa Gheraba,Aïn Témouchent
عين الأربعاء,Ain Larbaa,Aïn Témouchent
المساعيد,El Amria,Aïn Témouchent
وادي برقش,Hammam Bou Hadjar,Aïn Témouchent
سيدي بن عدة,Ain Temouchent,Aïn Témouchent
عين تموشنت,Ain Temouchent,Aïn Témouchent
بوزجار,El Amria,Aïn Témouchent
حمام بوحجر,Hammam Bou Hadjar,Aïn Témouchent
ضاية بن ضحوة,Dhayet Ben Dhahoua,Ghardaïa
المنصورة,Mansourah,Ghardaïa
العطف,Bounoura,Ghardaïa
بونورة,Bounoura,Ghardaïa
زلفانة,Zelfana,Ghardaïa
القرارة,El Guerrara,Ghardaïa
سبسب,Metlili,Ghardaïa
متليلي,Metlili,Ghardaïa
بريان,Berriane,Ghardaïa
غرداية,Ghardaia,Ghardaïa
القطار,Mazouna,Relizane
أولاد يعيش,Ammi Moussa,Relizane
بني درقن,Zemmoura,Relizane
دار بن عبد الله,Zemmoura,Relizane
زمورة,Zemmoura,Relizane
جديوية,Djidiouia,Relizane
حمري,Djidiouia,Relizane
بلعسل بوزقزة,El Matmar,Relizane
المطمر,El Matmar,Relizane
سيدي  خطاب,El Matmar,Relizane
سيدي امحمد بن عودة,El Matmar,Relizane
عين طارق,Ain Tarek,Relizane
حد الشكالة,Ain Tarek,Relizane
الولجة,Ammi Moussa,Relizane
مازونة,Mazouna,Relizane
عين الرحمة,Yellel,Relizane
القلعة,Yellel,Relizane
سيدي سعادة,Yellel,Relizane
يلل,Yellel,Relizane
سوق الحد,Ramka,Relizane
منداس,Mendes,Relizane
وادي السلام,Mendes,Relizane
سيدي لزرق,Mendes,Relizane
عمي موسى,Ammi Moussa,Relizane
واريزان,Oued Rhiou,Relizane
مرجة سيدي عابد,Oued Rhiou,Relizane
أولاد سيدي الميهوب,Djidiouia,Relizane
بن داود,Relizane,Relizane
وادي رهيو,Oued Rhiou,Relizane
الحاسي,Ammi Moussa,Relizane
سيدي أمحمد بن علي,Sidi M'hamed Ben Ali,Relizane
مديونة,Sidi M'hamed Ben Ali,Relizane
بني زنطيس,Sidi M'hamed Ben Ali,Relizane
وادي الجمعة,El H'madna,Relizane
لحلاف,Oued Rhiou,Relizane
غليزان,Relizane,Relizane
الحمادنة,El H'madna,Relizane
الرمكة,Ramka,Relizane
تنركوك,Tinerkouk,Timimoun
تيميمون,Timimoun,Timimoun
أولاد السعيد,Timimoun,Timimoun
المطارفة,Aougrout,Timimoun
طالمين,Charouine,Timimoun
أولاد عيسى,Charouine,Timimoun
شروين,Charouine,Timimoun
أوقروت,Aougrout,Timimoun
دلدول,Aougrout,Timimoun
قصر قدور,Tinerkouk,Timimoun
تيمياوين,Bordj Badji Mokhtar,Bordj Badji Mokhtar
برج باجي مختار,Bordj Badji Mokhtar,Bordj Badji Mokhtar
رأس الميعاد,Sidi Khaled,Ouled Djellal
بسباس,Sidi Khaled,Ouled Djellal
سيدي  خالد,Sidi Khaled,Ouled Djellal
الدوسن,Ouled Djellal,Ouled Djellal
الشعيبة,Ouled Djellal,Ouled Djellal
أولاد جلال,Ouled Djellal,Ouled Djellal
بني عباس,Beni Abbes,Béni Abbès
تامترت,Beni Abbes,Béni Abbès
إقلي,Igli,Béni Abbès
الواتة,El Ouata,Béni Abbès
أولاد خضير,Ouled Khodeir,Béni Abbès
كرزاز,Kerzaz,Béni Abbès
تيمودي,Kerzaz,Béni Abbès
القصابي,Ouled Khodeir,Béni Abbès
بن يخلف,Kerzaz,Béni Abbès
إينغر,In Ghar,In Salah
عين صالح,In Salah,In Salah
فقارة الزوى,In Salah,In Salah
تين زواتين,Tin Zouatine,In Guezzam
عين قزام,In Guezzam,In Guezzam
تماسين,Temacine,Touggourt
سيدي سليمان,Megarine,Touggourt
المقارين,Megarine,Touggourt
النزلة,Touggourt,Touggourt
بلدة اعمر,Temacine,Touggourt
تبسبست,Touggourt,Touggourt
تقرت,Touggourt,Touggourt
الطيبات,Taibet,Touggourt
العالية,El-Hadjira,Touggourt
الحجيرة,El-Hadjira,Touggourt
بن ناصر,Taibet,Touggourt
المنقر,Taibet,Touggourt
الزاوية العابدية,Touggourt,Touggourt
جانت,Djanet,Djanet
برج الحواس,Djanet,Djanet
أم الطيور,El Meghaier,El Meghaier
سيدي عمران,Djamaa,El Meghaier
المرارة,Djamaa,El Meghaier
جامعة,Djamaa,El Meghaier
تندلة,Djamaa,El Meghaier
المغير,El Meghaier,El Meghaier
سطيل,El Meghaier,El Meghaier
سيدي خليل,El Meghaier,El Meghaier
المنيعة,El Menia,El Menia
حاسي القارة,El Menia,El Menia
حاسي الفحل,Mansourah,El Menia
